offer_accepted,mailer_type,average_balance,household_size,credit_cards_held,bank_accounts_open,own_your_home,homes_owned,income_level,credit_rating,profiles
No,Postcard,1116.25,3,3,2,Yes,1,Low,High,"Non classifiable"
No,Letter,860.00,2,1,1,No,2,High,Low,"Non classifiable"
No,Postcard,1063.00,3,2,1,Yes,2,Low,High,"Non classifiable"
No,Letter,1073.00,4,1,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,1341.75,4,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,1176.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,296.25,5,1,3,Yes,1,Medium,High,"Non classifiable"
No,Letter,918.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1006.00,5,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,314.50,5,1,1,No,2,Medium,High,"Non classifiable"
No,Postcard,117.00,4,2,2,No,1,High,Medium,"Non classifiable"
No,Postcard,1024.75,4,1,1,Yes,2,High,Low,"Non classifiable"
No,Letter,694.00,4,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,722.25,5,2,1,No,2,Low,High,"Non classifiable"
No,Letter,240.50,5,2,3,Yes,1,Medium,High,"Non classifiable"
No,Letter,1071.00,2,3,1,No,1,High,Low,"Non classifiable"
No,Postcard,1565.00,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,976.25,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1015.25,5,3,1,No,1,Low,High,"Non classifiable"
No,Letter,277.50,4,2,2,Yes,1,Medium,High,"Non classifiable"
No,Postcard,131.50,3,2,1,No,1,High,Medium,"Non classifiable"
No,Letter,1239.25,4,2,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,1096.25,3,2,2,No,2,High,Low,"Non classifiable"
No,Letter,738.25,3,2,1,No,2,Low,High,"Non classifiable"
No,Letter,1097.25,4,3,1,No,1,High,Low,"Non classifiable"
No,Postcard,880.00,4,1,2,No,1,Low,High,"Non classifiable"
No,Postcard,963.00,2,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1067.25,4,1,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,261.75,5,2,1,No,1,Medium,High,"Non classifiable"
No,Letter,691.00,3,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,967.50,3,1,2,Yes,1,High,Low,"Non classifiable"
No,Letter,194.00,3,3,2,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1026.00,2,2,2,Yes,1,Low,High,"Non classifiable"
No,Letter,701.50,6,3,1,No,1,Low,High,"Non classifiable"
No,Letter,340.25,3,2,2,No,1,Medium,High,"Non classifiable"
Yes,Postcard,865.75,5,2,2,Yes,2,High,Low,"Non classifiable"
No,Letter,990.75,2,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,885.00,3,3,1,No,1,High,Low,"Non classifiable"
No,Postcard,1070.75,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1005.00,3,3,1,Yes,1,High,Low,"Non classifiable"
No,Letter,937.75,5,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,691.25,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,927.00,5,2,2,No,1,Low,High,"Non classifiable"
No,Letter,1267.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1045.00,3,1,1,No,2,Low,High,"Non classifiable"
No,Letter,1069.50,4,3,1,No,1,Low,High,"Non classifiable"
No,Postcard,865.00,3,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,850.50,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1228.75,3,2,2,No,2,High,Low,"Non classifiable"
No,Letter,684.75,3,1,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1333.75,4,2,1,No,1,High,Low,"Non classifiable"
No,Letter,1199.50,5,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1142.75,2,2,1,No,1,High,Low,"Non classifiable"
No,Letter,1211.00,4,4,2,Yes,1,Low,High,"Non classifiable"
No,Letter,1006.50,3,2,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,1124.00,4,2,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,867.00,4,2,1,Yes,2,High,Low,"Non classifiable"
No,Letter,1116.25,4,2,1,Yes,1,High,Low,"Non classifiable"
Yes,Postcard,881.25,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,957.50,2,2,1,Yes,2,High,Low,"Non classifiable"
No,Letter,1177.25,5,3,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1065.25,4,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,381.50,3,1,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,1030.00,2,2,1,No,1,Low,High,"Non classifiable"
No,Letter,813.50,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1076.75,4,3,1,No,1,Low,High,"Non classifiable"
No,Letter,1193.75,3,2,1,No,1,Low,High,"Non classifiable"
No,Letter,1022.75,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,673.00,3,2,1,No,1,High,Low,"Non classifiable"
No,Letter,1040.25,3,1,1,No,2,Low,High,"Non classifiable"
No,Letter,1010.00,5,2,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,858.00,4,2,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,905.50,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,114.25,5,3,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,285.25,4,2,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,1087.25,4,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,826.00,5,3,1,No,1,High,Low,"Non classifiable"
No,Postcard,1385.00,5,3,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1279.25,5,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,850.50,3,3,1,Yes,1,High,Low,"Non classifiable"
No,Letter,335.75,3,1,1,Yes,1,Medium,High,"Non classifiable"
Yes,Postcard,977.25,2,2,1,No,1,High,Low,"Non classifiable"
No,Letter,1691.00,5,1,2,No,1,Medium,Low,"Non classifiable"
No,Postcard,1813.25,5,3,1,Yes,1,Medium,Low,"Non classifiable"
No,Letter,262.75,4,1,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,1020.00,4,1,1,No,1,Low,High,"Non classifiable"
Yes,Postcard,1221.75,4,2,1,Yes,2,Low,High,"Non classifiable"
No,Letter,1124.50,3,2,1,No,1,Low,High,"Non classifiable"
No,Letter,1482.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,699.50,6,2,2,Yes,2,Low,High,"Non classifiable"
No,Postcard,211.00,4,2,1,Yes,1,Medium,High,"Non classifiable"
Yes,Postcard,1177.75,3,4,2,No,1,High,Low,"Non classifiable"
No,Postcard,293.25,3,2,2,No,1,High,Medium,"Non classifiable"
No,Letter,347.25,2,3,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,886.50,3,3,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1429.75,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1271.50,6,2,1,No,1,High,Low,"Non classifiable"
No,Letter,991.75,3,3,1,No,1,Low,High,"Non classifiable"
No,Letter,976.25,4,1,2,Yes,2,High,Low,"Non classifiable"
No,Postcard,1214.00,3,1,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,904.75,3,1,1,No,2,High,Low,"Non classifiable"
No,Postcard,295.50,3,2,1,No,1,Medium,High,"Non classifiable"
No,Postcard,1035.75,3,1,1,No,1,High,Low,"Non classifiable"
No,Letter,1023.00,4,2,2,Yes,2,High,Low,"Non classifiable"
No,Postcard,676.75,3,3,1,No,1,Low,High,"Non classifiable"
No,Letter,1188.00,4,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,1074.75,2,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1135.75,3,2,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,750.50,3,3,1,No,1,High,Low,"Non classifiable"
No,Letter,360.75,3,1,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,811.50,3,3,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,1296.00,5,3,2,Yes,1,Low,High,"Non classifiable"
No,Letter,1162.00,3,2,2,No,1,Low,High,"Non classifiable"
No,Postcard,127.25,3,3,1,Yes,2,Medium,High,"Non classifiable"
No,Letter,1712.25,4,2,1,No,2,Low,Medium,"Non classifiable"
No,Letter,1055.75,3,1,1,Yes,3,Low,High,"Non classifiable"
No,Letter,1233.75,4,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,1310.50,3,3,1,Yes,2,High,Low,"Non classifiable"
No,Letter,1396.00,3,2,2,Yes,1,Low,High,"Non classifiable"
No,Letter,943.00,2,4,1,No,2,Low,High,"Non classifiable"
No,Letter,1073.75,5,1,1,Yes,3,Low,High,"Non classifiable"
No,Postcard,1080.75,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1183.25,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,898.75,3,1,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1104.25,2,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,1695.00,4,2,1,Yes,1,Medium,Low,"Non classifiable"
No,Postcard,276.50,3,2,1,No,1,High,Medium,"Non classifiable"
No,Postcard,984.00,4,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,991.00,4,3,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1074.75,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1187.75,2,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1056.00,5,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,988.00,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1152.00,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,284.50,4,3,2,No,1,High,Medium,"Non classifiable"
No,Postcard,1402.25,5,2,1,Yes,3,High,Low,"Non classifiable"
No,Postcard,223.50,2,1,1,No,1,Medium,High,"Non classifiable"
Yes,Postcard,966.50,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1844.25,2,1,2,Yes,2,Medium,Low,"Non classifiable"
No,Postcard,1221.75,4,1,2,No,2,Low,High,"Non classifiable"
No,Postcard,699.25,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,397.25,3,2,1,Yes,2,Medium,High,"Non classifiable"
No,Postcard,380.50,5,1,1,No,1,Medium,High,"Non classifiable"
No,Postcard,787.75,5,3,1,No,1,Low,High,"Non classifiable"
No,Letter,228.25,4,1,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,790.00,3,2,1,Yes,2,High,Low,"Non classifiable"
