Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Application type","Stage of procedure","Cases / Persons",applied
2011,"Syrian Arab Rep.",SYR,Algeria,DZA,U,N,FI,P,5
2011,"Syrian Arab Rep.",SYR,Egypt,EGY,U,N,FI,P,92
2011,"Syrian Arab Rep.",SYR,Armenia,ARM,G,N,FI,P,5
2011,"Syrian Arab Rep.",SYR,Australia,AUS,G,N,AR,C,20
2011,"Syrian Arab Rep.",SYR,Australia,AUS,G,N,FI,P,96
2011,"Syrian Arab Rep.",SYR,Austria,AUT,G,NR,FA,P,422
2011,"Syrian Arab Rep.",SYR,Bahrain,BHR,U,N,FI,P,5
2011,"Syrian Arab Rep.",SYR,Belgium,BEL,G,N,FI,P,494
2011,"Syrian Arab Rep.",SYR,Belgium,BEL,G,R,RA,P,168
2011,"Syrian Arab Rep.",SYR,Brazil,BRA,G,N,FI,P,14
2011,"Syrian Arab Rep.",SYR,Bulgaria,BGR,G,N,FA,P,85
2011,"Syrian Arab Rep.",SYR,Canada,CAN,G,N,FI,P,181
2011,"Syrian Arab Rep.",SYR,Cyprus,CYP,G,A,AR,P,97
2011,"Syrian Arab Rep.",SYR,Cyprus,CYP,G,N,FI,P,187
2011,"Syrian Arab Rep.",SYR,Cyprus,CYP,U,NR,FA,P,23
2011,"Syrian Arab Rep.",SYR,Czechia,CZE,G,N,FI,P,23
2011,"Syrian Arab Rep.",SYR,Denmark,DNK,G,N,FI,P,428
2011,"Syrian Arab Rep.",SYR,Ecuador,ECU,G,N,FA,P,5
2011,"Syrian Arab Rep.",SYR,Finland,FIN,G,N,FI,P,109
2011,"Syrian Arab Rep.",SYR,France,FRA,G,N,FI,P,119
2011,"Syrian Arab Rep.",SYR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,A,AR,C,136
2011,"Syrian Arab Rep.",SYR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,N,FI,P,508
2011,"Syrian Arab Rep.",SYR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,R,RA,P,5
2011,"Syrian Arab Rep.",SYR,Germany,DEU,G,N,NA,P,2634
2011,"Syrian Arab Rep.",SYR,Germany,DEU,G,R,RA,P,802
2011,"Syrian Arab Rep.",SYR,Greece,GRC,G,N,FI,P,352
2011,"Syrian Arab Rep.",SYR,Croatia,HRV,G,N,FI,P,10
2011,"Syrian Arab Rep.",SYR,Hungary,HUN,G,R,FI,P,91
2011,"Syrian Arab Rep.",SYR,Indonesia,IDN,U,NR,FA,P,5
2011,"Syrian Arab Rep.",SYR,Ireland,IRL,G,NR,FI,P,11
2011,"Syrian Arab Rep.",SYR,Iraq,IRQ,U,N,FI,P,424
2011,"Syrian Arab Rep.",SYR,Italy,ITA,G,N,FI,P,541
2011,"Syrian Arab Rep.",SYR,Jordan,JOR,U,NR,FA,P,2398
2011,"Syrian Arab Rep.",SYR,Kuwait,KWT,U,N,FI,P,10
2011,"Syrian Arab Rep.",SYR,Lebanon,LBN,U,A,AR,P,48
2011,"Syrian Arab Rep.",SYR,Lebanon,LBN,U,N,FI,P,338
2011,"Syrian Arab Rep.",SYR,Lebanon,LBN,U,R,RA,P,5
2011,"Syrian Arab Rep.",SYR,Luxembourg,LUX,G,N,FI,P,10
2011,"Syrian Arab Rep.",SYR,Latvia,LVA,G,N,FI,P,16
2011,"Syrian Arab Rep.",SYR,"China, Macao SAR",MAC,G,N,FI,P,5
2011,"Syrian Arab Rep.",SYR,"Rep. of Moldova",MDA,G,NR,FA,P,13
2011,"Syrian Arab Rep.",SYR,Malaysia,MYS,U,NR,FI,P,14
