id_mun,nombre,id_prov
1,Abengibre,2
2,Alatoz,2
3,Albacete,2
4,Albatana,2
5,Alborea,2
6,Alcadozo,2
7,Alcalá del Júcar,2
8,Alcaraz,2
9,Almansa,2
10,Alpera,2
11,Ayna,2
12,Balazote,2
13,Ballestero,2
14,Balsa de Ves,2
15,Barrax,2
16,Bienservida,2
17,Bogarra,2
18,Bonete,2
19,Bonillo,2
20,Carcelén,2
21,Casas de Juan Núñez,2
22,Casas de Lázaro,2
23,Casas de Ves,2
24,Casas-Ibáñez,2
25,Caudete,2
26,Cenizate,2
27,Chinchilla de Monte-Aragón,2
28,Corral-Rubio,2
29,Cotillas,2
30,Elche de la Sierra,2
31,Férez,2
32,Fuensanta,2
33,Fuente-Álamo,2
34,Fuentealbilla,2
35,Gineta,2
36,Golosalvo,2
37,Hellín,2
38,Herrera,2
39,Higueruela,2
40,Hoya-Gonzalo,2
41,Jorquera,2
42,Letur,2
43,Lezuza,2
44,Liétor,2
45,Madrigueras,2
46,Mahora,2
47,Masegoso,2
48,Minaya,2
49,Molinicos,2
50,Montalvos,2
51,Montealegre del Castillo,2
52,Motilleja,2
53,Munera,2
54,Navas de Jorquera,2
55,Nerpio,2
56,Ontur,2
57,Ossa de Montiel,2
58,Paterna del Madera,2
59,Peñas de San Pedro,2
60,Peñascosa,2
61,Pétrola,2
62,Povedilla,2
63,Pozo Cañada,2
64,Pozohondo,2
65,Pozo-Lorente,2
66,Pozuelo,2
67,Recueja,2
68,Riópar,2
69,Robledo,2
70,Roda,2
71,Salobre,2
72,San Pedro,2
73,Socovos,2
74,Tarazona de la Mancha,2
75,Tobarra,2
76,Valdeganga,2
77,Vianos,2
78,Villa de Ves,2
79,Villalgordo del Júcar,2
80,Villamalea,2
81,Villapalacios,2
82,Villarrobledo,2
83,Villatoya,2
84,Villavaliente,2
85,Villaverde de Guadalimar,2
86,Viveros,2
87,Yeste,2
88,Agost,3
89,Agres,3
90,Aigües,3
91,Albatera,3
92,Alcalalí,3
93,Alcocer de Planes,3
94,Alcoleja,3
95,Alcoi,3
96,Alfafara,3
97,Alfàs del Pi,3
98,Algorfa,3
99,Algueña,3
100,Alacant,3
101,Almoradí,3
102,Almudaina,3
103,Alqueria d'Asnar,3
104,Altea,3
105,Aspe,3
106,Atzúbia,3
107,Balones,3
108,Banyeres de Mariola,3
109,Benasau,3
110,Beneixama,3
111,Benejúzar,3
112,Benferri,3
113,Beniarbeig,3
114,Beniardá,3
115,Beniarrés,3
116,Benidoleig,3
117,Benidorm,3
118,Benifallim,3
119,Benifato,3
120,Benigembla,3
121,Benijófar,3
122,Benilloba,3
123,Benillup,3
124,Benimantell,3
125,Benimarfull,3
126,Benimassot,3
127,Benimeli,3
128,Benissa,3
129,Poble Nou de Benitatxell,3
130,Biar,3
131,Bigastro,3
132,Bolulla,3
133,Busot,3
134,Callosa de Segura,3
135,Callosa d'en Sarrià,3
136,Calp,3
137,Campello,3
138,Camp de Mirra,3
139,Cañada,3
140,Castalla,3
141,Castell de Castells,3
142,Castell de Guadalest,3
143,Catral,3
144,Cocentaina,3
145,Confrides,3
146,Cox,3
147,Crevillent,3
148,Daya Nueva,3
149,Daya Vieja,3
150,Dénia,3
151,Dolores,3
152,Elx,3
153,Elda,3
