,Year,Country_of_origin,Country_of_origin_(ISO),Country_of_asylum,Country_of_asylum_(ISO),Female_0_-_4,Female_5_-_11,Female_12_-_17,Female_18_-_59,Female_60,Female_total,Male_0_-_4,Male_5_-_11,Male_12_-_17,Male_18_-_59,Male_60,Male_total,Total
0,2001,Syrian Arab Rep.,SYR,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,8
1,2001,Syrian Arab Rep.,SYR,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,8,8
2,2001,Syrian Arab Rep.,SYR,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,121
3,2001,Syrian Arab Rep.,SYR,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,79
4,2001,Syrian Arab Rep.,SYR,Belgium,BEL,0,0,0,0,0,15,0,0,0,0,0,32,47
5,2001,Syrian Arab Rep.,SYR,Belarus,BLR,0,0,0,0,0,0,0,0,0,0,0,0,5
6,2001,Syrian Arab Rep.,SYR,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,5
7,2001,Syrian Arab Rep.,SYR,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,58
8,2001,Syrian Arab Rep.,SYR,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,561
9,2001,Syrian Arab Rep.,SYR,Cyprus,CYP,0,0,0,0,0,0,0,0,0,5,0,5,31
10,2001,Syrian Arab Rep.,SYR,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,23
11,2001,Syrian Arab Rep.,SYR,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,237
12,2001,Syrian Arab Rep.,SYR,Estonia,EST,5,0,0,0,0,5,0,0,0,0,0,0,5
13,2001,Syrian Arab Rep.,SYR,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,32
14,2001,Syrian Arab Rep.,SYR,France,FRA,0,0,0,0,0,49,0,0,0,0,0,143,192
15,2001,Syrian Arab Rep.,SYR,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,1152
16,2001,Syrian Arab Rep.,SYR,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,46
17,2001,Syrian Arab Rep.,SYR,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,9
18,2001,Syrian Arab Rep.,SYR,Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,5,0,5,5
19,2001,Syrian Arab Rep.,SYR,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,9
20,2001,Syrian Arab Rep.,SYR,Iraq,IRQ,0,0,0,0,0,11,5,0,0,0,0,5,112
21,2001,Syrian Arab Rep.,SYR,Israel,ISR,0,0,0,0,0,0,0,0,0,0,0,0,5
22,2001,Syrian Arab Rep.,SYR,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,22
23,2001,Syrian Arab Rep.,SYR,Jordan,JOR,5,0,0,26,0,55,12,0,0,63,0,105,160
24,2001,Syrian Arab Rep.,SYR,Morocco,MAR,0,0,0,0,0,0,0,0,0,0,0,0,9
25,2001,Syrian Arab Rep.,SYR,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,3282
26,2001,Syrian Arab Rep.,SYR,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,105
27,2001,Syrian Arab Rep.,SYR,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,42
28,2001,Syrian Arab Rep.,SYR,Peru,PER,0,0,0,5,0,5,0,0,0,0,0,0,5
29,2001,Syrian Arab Rep.,SYR,Poland,POL,0,0,0,0,0,0,0,0,0,0,0,0,16
30,2001,Syrian Arab Rep.,SYR,Qatar,QAT,6,0,0,0,0,6,0,0,0,0,0,0,6
31,2001,Syrian Arab Rep.,SYR,Romania,ROU,0,0,0,0,0,5,0,0,0,6,0,6,16
32,2001,Syrian Arab Rep.,SYR,Saudi Arabia,SAU,6,0,0,5,0,11,0,0,0,8,0,8,19
33,2001,Syrian Arab Rep.,SYR,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,20
34,2001,Syrian Arab Rep.,SYR,Slovakia,SVK,0,0,0,0,0,0,0,0,0,0,0,0,7
35,2001,Syrian Arab Rep.,SYR,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,1268
36,2001,Syrian Arab Rep.,SYR,Switzerland,CHE,10,0,0,31,0,131,16,0,0,92,0,211,342
37,2001,Syrian Arab Rep.,SYR,Tunisia,TUN,0,0,0,0,0,0,0,0,0,5,0,5,5
38,2001,Syrian Arab Rep.,SYR,Turkey,TUR,0,0,0,0,0,0,0,0,0,0,0,0,6
39,2001,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,0,0,0,23,0,42,0,0,0,21,0,49,91
40,2001,Syrian Arab Rep.,SYR,Ukraine,UKR,0,0,0,0,0,0,0,0,0,54,0,54,54
41,2001,Syrian Arab Rep.,SYR,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,479
42,2001,Syrian Arab Rep.,SYR,Yemen,YEM,0,0,0,5,0,5,0,0,0,8,0,8,13
43,2002,Syrian Arab Rep.,SYR,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,5
44,2002,Syrian Arab Rep.,SYR,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,9
45,2002,Syrian Arab Rep.,SYR,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,92
46,2002,Syrian Arab Rep.,SYR,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,61
47,2002,Syrian Arab Rep.,SYR,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,31
48,2002,Syrian Arab Rep.,SYR,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,5
49,2002,Syrian Arab Rep.,SYR,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,61
50,2002,Syrian Arab Rep.,SYR,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,574
51,2002,Syrian Arab Rep.,SYR,Cyprus,CYP,0,0,0,0,0,0,0,0,0,7,0,7,27
52,2002,Syrian Arab Rep.,SYR,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,17
53,2002,Syrian Arab Rep.,SYR,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,229
54,2002,Syrian Arab Rep.,SYR,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,25
55,2002,Syrian Arab Rep.,SYR,France,FRA,0,0,0,0,0,50,0,0,0,0,0,157,207
56,2002,Syrian Arab Rep.,SYR,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,15677
57,2002,Syrian Arab Rep.,SYR,Greece,GRC,0,0,0,5,0,5,0,0,0,5,0,11,60
58,2002,Syrian Arab Rep.,SYR,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,20
59,2002,Syrian Arab Rep.,SYR,Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,5,0,5,5
60,2002,Syrian Arab Rep.,SYR,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,13
61,2002,Syrian Arab Rep.,SYR,Iraq,IRQ,19,0,0,12,0,53,15,0,0,18,0,53,106
62,2002,Syrian Arab Rep.,SYR,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,36
63,2002,Syrian Arab Rep.,SYR,Jordan,JOR,0,0,0,9,0,27,0,0,0,25,0,43,70
64,2002,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,0,0,0,0,0,0,0,0,0,5,0,5,5
65,2002,Syrian Arab Rep.,SYR,Morocco,MAR,0,0,0,0,0,0,0,0,0,0,0,0,9
66,2002,Syrian Arab Rep.,SYR,Malta,MLT,0,0,0,0,0,0,0,0,0,0,0,0,5
67,2002,Syrian Arab Rep.,SYR,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,2710
68,2002,Syrian Arab Rep.,SYR,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,107
69,2002,Syrian Arab Rep.,SYR,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,35
70,2002,Syrian Arab Rep.,SYR,Poland,POL,0,0,0,0,0,0,0,0,0,0,0,0,16
71,2002,Syrian Arab Rep.,SYR,Romania,ROU,0,0,0,0,0,0,0,0,0,0,0,0,21
72,2002,Syrian Arab Rep.,SYR,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,20
73,2002,Syrian Arab Rep.,SYR,Slovakia,SVK,0,0,0,0,0,0,0,0,0,0,0,0,5
74,2002,Syrian Arab Rep.,SYR,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,1841
75,2002,Syrian Arab Rep.,SYR,Switzerland,CHE,7,0,0,63,0,151,21,0,0,88,0,206,434
76,2002,Syrian Arab Rep.,SYR,Tunisia,TUN,0,0,0,0,0,0,0,0,0,5,0,5,5
77,2002,Syrian Arab Rep.,SYR,Turkey,TUR,0,0,0,0,0,0,0,0,0,0,0,0,11
78,2002,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,0,0,0,19,0,35,5,0,0,20,0,43,78
79,2002,Syrian Arab Rep.,SYR,Ukraine,UKR,0,0,0,0,0,0,0,0,0,45,0,45,45
80,2002,Syrian Arab Rep.,SYR,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,481
81,2002,Syrian Arab Rep.,SYR,Yemen,YEM,0,0,0,5,0,5,0,0,0,8,0,8,13
82,2003,Syrian Arab Rep.,SYR,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,5
83,2003,Syrian Arab Rep.,SYR,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,18
84,2003,Syrian Arab Rep.,SYR,Armenia,ARM,0,0,0,5,0,5,0,0,0,0,0,0,5
85,2003,Syrian Arab Rep.,SYR,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,90
86,2003,Syrian Arab Rep.,SYR,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,61
87,2003,Syrian Arab Rep.,SYR,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,189
88,2003,Syrian Arab Rep.,SYR,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,5
89,2003,Syrian Arab Rep.,SYR,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,65
90,2003,Syrian Arab Rep.,SYR,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,586
91,2003,Syrian Arab Rep.,SYR,Cyprus,CYP,0,0,0,5,0,5,0,0,0,8,0,8,57
92,2003,Syrian Arab Rep.,SYR,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,19
93,2003,Syrian Arab Rep.,SYR,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,200
94,2003,Syrian Arab Rep.,SYR,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,34
95,2003,Syrian Arab Rep.,SYR,France,FRA,0,0,0,0,0,44,0,0,0,0,0,147,191
96,2003,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,16
