,year,0-4 years,5-11 years,12-17 years,18-59 years,60+ years,total
0,2011,2085,30,68,14390,888,17461
1,2012,82342,90861,66565,225730,12021,477519
2,2013,340951,358150,232136,862997,52811,1847045
3,2014,431177,506609,376784,1105535,75092,2495197
4,2015,362209,469649,279573,1124726,67118,2303275
5,2016,341781,475494,289916,1136074,66473,2309738
6,2017,391902,545231,326018,1318896,75404,2657451
7,2018,964684,1188221,751034,3204389,192614,6300942
8,2019,967321,1226937,729387,3175494,188744,6287883
9,2020,863618,1245437,808555,3226691,198065,6342366
