Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers
2011,"Syrian Arab Rep.",SYR,Algeria,DZA,0,5
2011,"Syrian Arab Rep.",SYR,Egypt,EGY,9,85
2011,"Syrian Arab Rep.",SYR,Armenia,ARM,6,0
2011,"Syrian Arab Rep.",SYR,Australia,AUS,84,66
2011,"Syrian Arab Rep.",SYR,Austria,AUT,903,456
2011,"Syrian Arab Rep.",SYR,Bahrain,BHR,0,5
2011,"Syrian Arab Rep.",SYR,Belgium,BEL,312,666
2011,"Syrian Arab Rep.",SYR,Brazil,BRA,6,13
2011,"Syrian Arab Rep.",SYR,Bulgaria,BGR,98,70
2011,"Syrian Arab Rep.",SYR,Canada,CAN,547,251
2011,"Syrian Arab Rep.",SYR,Chad,TCD,5,0
2011,"Syrian Arab Rep.",SYR,Cyprus,CYP,137,345
2011,"Syrian Arab Rep.",SYR,Czechia,CZE,23,0
2011,"Syrian Arab Rep.",SYR,Denmark,DNK,1197,93
2011,"Syrian Arab Rep.",SYR,Ecuador,ECU,11,0
2011,"Syrian Arab Rep.",SYR,Finland,FIN,86,75
2011,"Syrian Arab Rep.",SYR,France,FRA,351,0
2011,"Syrian Arab Rep.",SYR,"United Kingdom of Great Britain and Northern Ireland",GBR,693,339
2011,"Syrian Arab Rep.",SYR,Germany,DEU,10155,4713
2011,"Syrian Arab Rep.",SYR,Greece,GRC,10,0
2011,"Syrian Arab Rep.",SYR,Croatia,HRV,0,5
2011,"Syrian Arab Rep.",SYR,Hungary,HUN,42,0
2011,"Syrian Arab Rep.",SYR,Indonesia,IDN,0,7
2011,"Syrian Arab Rep.",SYR,Ireland,IRL,27,17
2011,"Syrian Arab Rep.",SYR,Iraq,IRQ,323,1391
2011,"Syrian Arab Rep.",SYR,Italy,ITA,262,0
2011,"Syrian Arab Rep.",SYR,Jordan,JOR,193,2618
2011,"Syrian Arab Rep.",SYR,Kyrgyzstan,KGZ,9,10
2011,"Syrian Arab Rep.",SYR,Kuwait,KWT,10,10
2011,"Syrian Arab Rep.",SYR,Lebanon,LBN,124,368
2011,"Syrian Arab Rep.",SYR,Lithuania,LTU,5,0
2011,"Syrian Arab Rep.",SYR,Latvia,LVA,5,11
2011,"Syrian Arab Rep.",SYR,"China, Macao SAR",MAC,0,5
2011,"Syrian Arab Rep.",SYR,"Rep. of Moldova",MDA,11,10
2011,"Syrian Arab Rep.",SYR,Malaysia,MYS,5,8
2011,"Syrian Arab Rep.",SYR,Morocco,MAR,0,5
